,class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
10,building ,2.42,281,1.1,153.48,2.37,2.59,134.92,160.07,165.44,6.51,6.71,6.24,1.84,0.42,0.72,6.4,1.64,0.67,-0.09,174,3772.69,1.77,1185,0.86,166.09,1.64,1.87,147.87,172.63,177.77,15.49,16.91,16.63,1.79,0.79,0.73,7.52,1.88,0.6,-0.08,258,1416.6,1.77,1185,0.86,166.09,1.64,1.87,147.87,172.63,177.77,15.49,16.91,16.63,1.79,0.79,0.73,7.52,1.88,0.6,-0.08,258,1416.6,1.77,1185,0.86,166.09,1.64,1.87,147.87,172.63,177.77,15.49,16.91,16.63,1.79,0.79,0.73,7.52,1.88,0.6,-0.08,258,1416.6,1.77,1185,0.86,166.09,1.64,1.87,147.87,172.63,177.77,15.49,16.91,16.63,1.79,0.79,0.73,7.52,1.88,0.6,-0.08,258,1416.6,1.46,2128,0.58,153.24,1.4,1.48,136.52,158.89,164.31,18.34,21.27,21.01,1.29,0.87,0.83,7.8,2.2,0.35,-0.08,274,907.68,1.46,2128,0.58,153.24,1.4,1.48,136.52,158.89,164.31,18.34,21.27,21.01,1.29,0.87,0.83,7.8,2.2,0.35,-0.08,274,907.68
11,concrete ,2.4,491,1.24,224.05,2.09,2.55,195.91,237.16,239.1,7.54,7.69,7.5,1.64,0.6,0.71,6.72,1.97,0.34,-0.1,226,2972.7,2.73,1078,1.12,227.55,2.38,2.79,201.36,239.84,241.45,11.19,10.58,9.74,1.27,0.72,0.79,7.2,2.05,0.48,-0.09,366,1866.79,2.73,1078,1.12,227.55,2.38,2.79,201.36,239.84,241.45,11.19,10.58,9.74,1.27,0.72,0.79,7.2,2.05,0.48,-0.09,366,1866.79,3.68,8105,1.81,235.68,3.49,4.35,211.64,247.23,248.16,11.88,9.09,8.43,3.25,0.78,0.55,7.41,1.1,0.94,-0.08,1566,1444.7,3.68,8105,1.81,235.68,3.49,4.35,211.64,247.23,248.16,11.88,9.09,8.43,3.25,0.78,0.55,7.41,1.1,0.94,-0.08,1566,1444.7,4.06,11886,2.6,235.69,4.59,4.19,208.84,248.74,249.48,11.65,8.32,7.68,1.57,0.78,0.39,7.37,1.23,0.6,-0.09,1826,1416.56,4.06,11886,2.6,235.69,4.59,4.19,208.84,248.74,249.48,11.65,8.32,7.68,1.57,0.78,0.39,7.37,1.23,0.6,-0.09,1826,1416.56
12,concrete ,2.45,659,1.38,219.3,1.68,2.53,189.64,233.14,235.12,5.63,5.73,5.89,1.23,0.38,0.83,6.26,2.08,0.37,-0.1,260,3597.18,2.2,1735,1.18,220.71,1.5,2.42,192.39,233.93,235.81,9.36,9.59,9.22,2.39,0.55,0.87,6.88,1.82,0.73,-0.1,404,2486.59,2.82,5205,1.33,223.11,1.5,2.86,195.88,235.94,237.5,11.65,11.54,11.3,1.06,0.65,0.85,7.28,2.17,0.18,-0.09,824,1972.34,2.82,5205,1.33,223.11,1.5,2.86,195.88,235.94,237.5,11.65,11.54,11.3,1.06,0.65,0.85,7.28,2.17,0.18,-0.09,824,1972.34,3.92,9866,2.2,219.86,3.01,3.98,194.23,231.73,233.63,14.88,14.28,13.77,1.3,0.75,0.75,7.54,1.98,0.2,-0.09,1582,1400.04,3.92,9866,2.2,219.86,3.01,3.98,194.23,231.73,233.63,14.88,14.28,13.77,1.3,0.75,0.75,7.54,1.98,0.2,-0.09,1582,1400.04,4.23,20094,1.82,220.71,2.58,4.58,194.02,233.09,235.03,15.52,14.98,14.67,2.21,0.74,0.78,7.47,1.7,0.74,-0.09,2596,1243.03
13,asphalt ,2.22,116,1.29,100.77,2.72,2.37,87.45,105.32,109.53,7.18,7.24,7.69,1.4,0.63,0.67,6.12,1.6,0.49,-0.09,102,3160.26,3.45,1254,1.69,89.63,2.63,3.66,76.44,93.88,98.56,14.41,14.81,14.53,1.77,0.67,0.67,7.49,1.64,0.71,-0.1,518,2089.26,3.06,1418,1.54,93.11,2.54,3.13,79.94,97.45,101.93,17.63,17.66,17.12,1.28,0.76,0.68,7.68,1.8,0.66,-0.1,472,1581.57,3.54,2051,1.47,84.81,2.98,3.71,74.21,87.67,92.53,21.39,24.1,23.61,1.7,0.83,0.63,8.06,1.67,0.54,-0.08,672,1277.16,5.25,2982,2.81,87.72,5.91,5.29,83.21,86.97,92.98,33.3,28.28,28.19,1.07,0.86,0.46,8.55,1.26,0.35,-0.02,1156,1087.71,5.25,2982,2.81,87.72,5.91,5.29,83.21,86.97,92.98,33.3,28.28,28.19,1.07,0.86,0.46,8.55,1.26,0.35,-0.02,1156,1087.71,5.25,2982,2.81,87.72,5.91,5.29,83.21,86.97,92.98,33.3,28.28,28.19,1.07,0.86,0.46,8.55,1.26,0.35,-0.02,1156,1087.71
14,shadow ,1.47,224,1.01,57.38,1.92,1.67,45.48,59.05,67.61,8.94,10.02,10.49,2.17,0.3,0.77,6.46,1.61,0.76,-0.13,100,4488.24,1.47,227,0.99,58.15,1.93,1.66,46.18,59.87,68.39,10.92,12.45,12.6,2.23,0.34,0.77,6.55,1.61,0.76,-0.13,100,3727.91,1.43,243,0.9,64.59,1.79,1.6,52.09,66.36,75.31,26.77,29.47,30.84,2.26,0.6,0.81,6.76,1.66,0.76,-0.12,100,1845.75,1.38,319,0.82,82.56,1.69,1.54,69.15,85.24,93.29,43.17,47.42,46.62,2.19,0.81,0.82,7.21,1.71,0.75,-0.1,110,1437.02,1.38,319,0.82,82.56,1.69,1.54,69.15,85.24,93.29,43.17,47.42,46.62,2.19,0.81,0.82,7.21,1.71,0.75,-0.1,110,1437.02,1.38,319,0.82,82.56,1.69,1.54,69.15,85.24,93.29,43.17,47.42,46.62,2.19,0.81,0.82,7.21,1.71,0.75,-0.1,110,1437.02,1.38,319,0.82,82.56,1.69,1.54,69.15,85.24,93.29,43.17,47.42,46.62,2.19,0.81,0.82,7.21,1.71,0.75,-0.1,110,1437.02
15,building ,2.6,255,1.52,176.44,2.53,2.85,150.05,186.82,192.45,8.65,8.19,8.14,2.06,0.66,0.58,6.58,1.4,0.72,-0.11,182,2396.75,2.8,369,1.32,174.16,2.29,3.2,148.34,184.19,189.96,8.43,8.66,8.46,2.61,0.65,0.56,6.74,1.38,0.79,-0.11,246,2578.95,1.66,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11,1.66,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11,1.66,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11,1.66,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11,1.66,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11
16,building ,1.55,690,0.58,175.74,1.37,1.92,151.56,195.39,180.27,7.44,8.25,7.63,3.69,0.45,0.86,6.67,1.7,0.81,-0.13,202,3464.96,1.98,1422,1.51,177.03,1.94,2.41,153.13,195.56,182.39,10.5,11.68,11.65,3.58,0.59,0.79,7.13,1.36,0.92,-0.12,364,2693.25,1.98,1422,1.51,177.03,1.94,2.41,153.13,195.56,182.39,10.5,11.68,11.65,3.58,0.59,0.79,7.13,1.36,0.92,-0.12,364,2693.25,1.98,1422,1.51,177.03,1.94,2.41,153.13,195.56,182.39,10.5,11.68,11.65,3.58,0.59,0.79,7.13,1.36,0.92,-0.12,364,2693.25,1.98,1422,1.51,177.03,1.94,2.41,153.13,195.56,182.39,10.5,11.68,11.65,3.58,0.59,0.79,7.13,1.36,0.92,-0.12,364,2693.25,1.98,1422,1.51,177.03,1.94,2.41,153.13,195.56,182.39,10.5,11.68,11.65,3.58,0.59,0.79,7.13,1.36,0.92,-0.12,364,2693.25,4.12,2922,1.78,188.3,3.89,4.23,164.55,203.21,197.14,31.52,34.52,36.21,1.53,0.76,0.6,8.35,1.47,0.72,-0.11,914,1615.26
17,tree ,1.57,102,1.1,128.84,1.62,1.63,179.93,95.59,110.99,30.69,12.77,16.08,1.36,0.78,0.81,6.66,1.81,0.41,0.31,66,1811.03,4.39,838,2.52,130.37,5.66,5.01,159.24,111.15,120.73,36.12,26.9,24.93,2.69,0.81,0.39,8.5,1.06,0.76,0.18,580,1456.98,5.19,1723,2.36,126.47,5.22,5.25,143.37,114.92,121.11,51.1,37.4,34.82,1.05,0.87,0.52,8.85,1.39,0.24,0.11,872,895.85,5.03,1894,2.36,122.38,4.57,5.09,138.92,111.0,117.2,51.94,38.91,36.57,1.19,0.88,0.54,8.88,1.38,0.18,0.11,886,868.8,5.03,1894,2.36,122.38,4.57,5.09,138.92,111.0,117.2,51.94,38.91,36.57,1.19,0.88,0.54,8.88,1.38,0.18,0.11,886,868.8,3.99,3281,2.02,102.3,3.58,4.08,117.83,90.92,98.16,53.34,41.52,39.6,1.34,0.91,0.56,8.95,1.57,0.47,0.13,934,671.0,3.99,3281,2.02,102.3,3.58,4.08,117.83,90.92,98.16,53.34,41.52,39.6,1.34,0.91,0.56,8.95,1.57,0.47,0.13,934,671.0
18,concrete ,2.29,1741,0.8,241.25,1.8,2.47,218.05,252.83,252.87,6.24,3.36,3.23,2.13,0.31,0.85,6.42,1.9,0.72,-0.07,412,3437.98,2.66,3024,1.46,239.63,2.5,2.86,215.96,251.66,251.28,7.92,6.0,6.42,2.1,0.46,0.7,6.71,1.82,0.65,-0.08,628,2814.36,2.65,3100,1.43,238.89,2.44,2.86,215.44,251.13,250.1,9.28,8.08,10.26,2.1,0.49,0.7,6.77,1.82,0.66,-0.08,636,2314.12,2.88,7910,1.46,239.34,2.16,3.18,215.66,251.37,250.97,8.26,6.61,7.82,2.44,0.52,0.77,6.73,1.65,0.81,-0.08,1130,2437.28,2.88,7910,1.46,239.34,2.16,3.18,215.66,251.37,250.97,8.26,6.61,7.82,2.44,0.52,0.77,6.73,1.65,0.81,-0.08,1130,2437.28,3.19,8450,1.44,238.45,2.04,3.52,215.18,250.29,249.88,9.93,9.65,10.43,2.39,0.57,0.77,6.85,1.61,0.82,-0.08,1296,2014.6,3.19,8450,1.44,238.45,2.04,3.52,215.18,250.29,249.88,9.93,9.65,10.43,2.39,0.57,0.77,6.85,1.61,0.82,-0.08,1296,2014.6
19,shadow ,2.39,83,2.08,115.15,3.47,3.02,113.23,113.57,118.66,30.5,27.71,25.42,3.56,0.75,0.38,6.63,1.04,0.77,0.0,110,2784.26,1.48,159,0.96,92.12,2.04,1.94,89.91,89.75,96.68,36.96,35.31,32.82,4.0,0.8,0.68,7.1,1.26,0.89,0.0,98,1722.06,1.48,159,0.96,92.12,2.04,1.94,89.91,89.75,96.68,36.96,35.31,32.82,4.0,0.8,0.68,7.1,1.26,0.89,0.0,98,1722.06,1.48,159,0.96,92.12,2.04,1.94,89.91,89.75,96.68,36.96,35.31,32.82,4.0,0.8,0.68,7.1,1.26,0.89,0.0,98,1722.06,4.59,3932,2.42,147.96,3.59,4.76,152.53,142.65,148.71,54.39,48.88,47.63,1.6,0.9,0.36,9.09,1.2,0.69,0.03,1194,691.96,4.59,3932,2.42,147.96,3.59,4.76,152.53,142.65,148.71,54.39,48.88,47.63,1.6,0.9,0.36,9.09,1.2,0.69,0.03,1194,691.96,4.59,3932,2.42,147.96,3.59,4.76,152.53,142.65,148.71,54.39,48.88,47.63,1.6,0.9,0.36,9.09,1.2,0.69,0.03,1194,691.96
