,class
277,7
278,6
279,8
280,5
281,4
282,7
283,1
284,5
285,5
286,3
287,5
288,5
289,7
290,5
291,4
292,6
293,3
294,0
295,1
296,6
297,7
298,6
299,3
300,2
301,3
302,7
303,9
304,5
305,2
306,8
307,2
308,9
309,1
310,5
311,7
312,7
313,1
314,2
315,4
316,1
317,4
318,6
319,2
320,1
321,4
322,9
323,6
324,4
325,8
326,5
327,2
328,4
329,3
330,5
331,8
332,9
333,1
334,2
335,8
336,8
337,7
338,6
339,0
340,7
341,6
342,0
343,5
344,1
345,4
346,8
347,6
348,9
349,8
350,0
351,5
352,6
353,8
354,4
355,6
356,3
357,4
358,5
359,7
360,2
361,4
362,9
363,2
364,2
365,9
366,5
367,4
368,4
369,0
370,7
371,6
372,8
373,1
374,1
375,9
376,1
377,3
378,4
379,0
380,7
381,0
382,8
383,2
384,6
385,4
386,3
387,1
388,8
389,9
390,0
391,5
392,2
393,9
394,8
395,0
396,6
397,2
398,3
399,2
400,1
401,4
402,1
403,9
404,8
405,3
406,6
407,5
408,9
409,6
410,4
411,0
412,5
413,2
414,6
415,3
416,7
417,4
418,8
419,5
420,5
421,8
422,6
423,7
424,8
425,5
426,6
427,0
428,3
429,4
430,8
431,9
432,5
433,1
434,8
435,6
436,5
437,2
438,3
439,9
440,5
441,7
442,4
443,5
444,7
445,0
446,7
447,3
448,0
449,5
450,1
451,8
452,9
453,2
454,3
455,5
456,0
457,3
458,0
459,7
460,7
461,6
462,5
463,0
464,6
465,6
466,9
467,8
468,1
469,1
470,9
471,0
472,2
473,5
474,0
475,9
476,7
477,5
478,6
479,4
480,1
481,2
482,5
483,7
484,8
485,3
486,8
487,3
488,4
489,6
490,9
491,9
492,6
493,1
494,1
495,8
496,9
497,3
498,6
499,6
500,3
501,4
502,0
503,0
504,0
505,5
506,7
507,4
508,9
509,3
510,1
511,9
512,1
513,9
514,3
515,9
516,8
517,8
518,8
519,5
520,4
521,2
522,6
523,9
524,9
525,5
526,9
527,3
528,4
529,1
530,7
531,5
532,7
533,4
534,9
535,6
536,7
537,1
538,5
539,7
540,5
541,9
542,7
543,0
544,7
545,8
546,8
547,3
548,4
549,2
550,7
551,1
552,5
553,1
554,9
555,8
556,3
557,0
558,3
559,5
560,2
561,1
562,4
563,8
564,1
565,0
566,3
567,1
568,6
569,5
570,5
571,9
572,2
573,0
574,9
575,8
576,8
577,1
578,8
579,7
580,3
581,5
582,0
583,4
584,8
585,8
586,2
587,9
588,7
589,0
590,5
591,8
592,3
593,1
594,4
595,5
596,5
597,2
598,2
599,2
600,3
601,3
602,0
603,0
604,3
605,4
606,8
607,9
608,0
609,7
610,0
611,1
612,2
613,0
614,5
615,8
616,5
617,9
618,8
619,8
620,2
621,1
622,1
623,3
624,0
625,8
626,6
627,8
628,0
629,1
630,2
631,3
632,0
633,0
634,8
635,0
636,2
637,6
638,1
639,0
640,7
641,3
642,1
643,9
644,0
645,8
646,5
647,9
648,2
649,3
650,7
651,0
652,9
653,0
654,1
655,3
656,0
657,6
658,4
659,7
660,4
661,5
662,2
663,7
664,2
665,5
666,5
667,1
668,2
669,8
670,7
671,4
672,9
673,9
674,3
675,9
676,4
677,5
678,4
679,4
680,6
681,3
682,5
683,2
684,1
685,4
686,5
687,4
688,6
689,9
690,2
691,2
692,1
693,3
694,9
695,1
696,2
697,2
698,8
699,5
700,0
701,5
702,2
703,3
704,3
705,2
706,3
707,5
708,5
709,0
710,6
711,8
712,0
713,2
714,3
715,8
716,0
717,0
718,3
719,4
720,9
721,4
722,7
723,4
724,1
725,9
726,7
727,9
728,6
729,9
730,1
731,1
732,8
733,4
734,1
735,1
736,5
737,2
738,3
739,7
740,7
741,7
742,1
743,5
744,5
745,6
746,6
747,9
748,5
749,0
750,9
751,7
752,2
753,6
754,1
755,6
756,7
757,0
758,2
759,3
760,1
761,3
762,3
763,4
764,4
765,2
766,6
767,7
768,6
769,8
770,9
771,3
772,4
773,8
774,7
775,1
776,8
777,5
778,9
779,8
780,6
781,9
782,1
783,5
784,6
785,2
786,6
787,3
788,7
789,3
790,3
791,3
792,6
793,6
794,2
795,6
796,5
797,6
798,1
799,3
800,3
801,1
802,9
803,8
804,6
805,4
806,2
807,4
808,9
809,9
810,6
811,5
812,2
813,3
814,0
815,4
816,7
817,5
818,9
819,0
820,6
821,9
822,5
823,4
824,6
825,6
826,5
827,4
828,3
829,2
830,2
831,4
832,7
833,6
834,9
835,5
836,4
837,3
838,3
839,6
840,9
841,1
842,3
843,3
844,6
845,5
846,1
847,7
848,1
849,7
850,2
851,2
852,8
853,0
854,1
855,0
856,8
857,4
858,3
859,0
860,7
861,6
862,1
863,8
864,1
865,9
866,4
867,8
868,5
869,2
870,3
871,4
872,9
873,8
874,1
875,5
876,7
877,3
878,6
879,5
880,6
881,0
882,7
883,6
884,0
885,7
886,4
887,7
888,7
889,8
890,1
891,9
892,4
893,8
894,4
895,3
896,4
897,5
898,0
899,2
900,7
901,8
902,8
903,5
904,8
905,9
906,7
907,4
908,3
909,6
910,0
911,5
912,9
913,8
914,5
915,3
916,1
917,1
918,5
919,3
920,5
921,8
922,9
923,1
924,2
925,9
926,1
927,0
928,2
929,0
930,0
931,8
932,7
933,4
934,7
935,5
936,1
937,0
938,6
939,4
940,3
941,7
942,6
943,8
944,2
945,7
946,8
947,8
948,8
949,1
950,8
951,0
952,1
953,8
954,0
955,1
956,6
957,8
958,7
959,3
960,9
961,9
962,4
963,3
964,9
965,4
966,3
967,7
968,9
969,1
970,6
971,7
972,9
973,9
974,3
975,6
976,3
977,1
978,1
979,3
980,2
981,1
982,7
983,1
984,4
985,2
986,5
987,4
988,1
989,0
990,7
991,0
992,5
993,8
994,3
995,4
996,8
997,6
998,9
999,2
1000,4
1001,1
1002,0
1003,8
1004,3
1005,2
1006,8
1007,0
1008,7
1009,9
1010,5
1011,8
1012,6
1013,1
1014,2
1015,6
1016,1
1017,1
1018,8
1019,8
1020,5
1021,3
1022,9
1023,3
1024,4
1025,5
1026,4
1027,4
1028,8
1029,6
1030,6
1031,3
1032,6
1033,3
1034,6
1035,4
1036,9
1037,7
1038,6
1039,3
1040,9
1041,7
1042,2
1043,3
1044,9
1045,6
1046,7
1047,5
1048,2
1049,0
1050,3
1051,5
1052,2
1053,9
1054,4
1055,1
1056,3
1057,0
1058,7
1059,4
1060,4
1061,1
1062,2
1063,3
1064,2
1065,2
1066,5
1067,1
1068,8
1069,0
1070,5
1071,2
1072,2
1073,8
1074,8
1075,4
1076,9
1077,6
1078,0
1079,7
1080,3
1081,7
1082,5
1083,7
1084,1
1085,6
1086,8
1087,9
1088,8
1089,7
1090,6
1091,4
1092,7
1093,0
1094,3
1095,0
1096,7
1097,1
1098,9
1099,4
1100,7
1101,5
1102,3
1103,6
1104,2
1105,2
1106,8
1107,6
1108,5
1109,1
1110,6
1111,9
1112,5
1113,7
1114,5
1115,8
1116,1
1117,6
1118,4
1119,7
1120,7
1121,3
1122,7
1123,8
1124,2
1125,3
1126,6
1127,1
1128,3
1129,5
1130,0
1131,8
1132,0
1133,0
1134,7
1135,2
1136,0
1137,7
1138,0
1139,1
1140,5
1141,9
1142,7
1143,2
1144,2
1145,0
1146,8
1147,8
1148,7
1149,6
1150,0
1151,9
1152,2
1153,3
1154,9
1155,2
1156,3
1157,2
1158,2
1159,1
1160,4
1161,0
1162,5
1163,6
1164,8
1165,2
1166,4
1167,4
1168,8
1169,8
1170,3
1171,5
1172,5
1173,4
1174,1
1175,2
1176,6
1177,0
1178,1
1179,8
1180,2
1181,6
1182,7
1183,2
1184,5
1185,1
1186,0
1187,9
1188,2
1189,8
1190,4
1191,5
1192,0
1193,5
1194,4
1195,4
1196,6
1197,3
1198,7
1199,3
1200,1
1201,9
1202,9
1203,8
1204,6
1205,9
1206,4
1207,5
1208,9
1209,0
1210,6
1211,1
1212,1
1213,7
1214,1
1215,9
1216,1
1217,9
1218,2
1219,3
1220,2
1221,9
1222,7
1223,9
1224,6
1225,7
1226,0
1227,4
1228,2
1229,5
1230,8
1231,9
1232,0
1233,4
1234,6
1235,8
1236,9
1237,8
1238,0
1239,2
1240,4
1241,1
1242,1
1243,3
1244,1
1245,2
1246,6
1247,5
1248,1
1249,5
1250,0
1251,0
1252,2
1253,6
1254,0
1255,7
1256,6
1257,9
1258,2
1259,2
1260,0
1261,0
1262,3
1263,4
1264,5
1265,8
1266,1
1267,2
1268,7
1269,0
1270,1
1271,9
1272,1
1273,2
1274,9
1275,6
1276,7
1277,1
1278,2
1279,5
1280,4
1281,5
1282,5
1283,6
1284,6
1285,4
1286,1
1287,4
1288,6
1289,8
1290,3
1291,2
1292,3
1293,1
1294,5
1295,2
1296,6
1297,1
1298,6
1299,3
1300,9
1301,6
1302,6
1303,4
1304,5
1305,4
1306,7
1307,2
1308,3
1309,7
1310,3
1311,0
1312,6
1313,0
1314,6
1315,4
1316,7
1317,1
1318,5
1319,2
1320,9
1321,3
1322,0
1323,0
1324,2
1325,5
1326,0
1327,0
1328,0
1329,0
1330,6
1331,3
1332,4
1333,9
1334,7
1335,2
1336,5
1337,7
1338,7
1339,4
1340,0
1341,8
1342,6
1343,5
1344,2
1345,8
1346,8
1347,7
1348,6
1349,1
1350,4
1351,1
1352,0
1353,1
1354,4
1355,3
1356,4
1357,3
1358,0
1359,6
1360,8
1361,4
1362,5
1363,7
1364,1
1365,9
1366,2
1367,8
1368,2
1369,4
1370,4
1371,4
1372,0
1373,3
1374,3
1375,9
1376,3
1377,5
1378,0
1379,7
1380,6
1381,4
1382,6
1383,2
1384,9
1385,4
1386,4
1387,8
1388,4
1389,7
1390,8
1391,0
1392,4
1393,5
1394,7
1395,9
1396,2
1397,2
1398,2
1399,3
1400,1
1401,6
1402,1
1403,2
1404,3
1405,1
1406,6
1407,0
1408,6
1409,2
1410,8
1411,6
1412,3
1413,1
1414,8
1415,2
1416,7
1417,0
1418,3
1419,0
1420,2
1421,0
1422,3
1423,2
1424,6
1425,8
1426,4
1427,2
1428,6
1429,4
1430,0
1431,3
1432,5
1433,2
1434,7
1435,6
1436,5
1437,3
1438,5
1439,7
1440,3
1441,3
1442,2
1443,0
1444,7
1445,2
1446,1
1447,4
1448,0
1449,5
1450,0
1451,5
1452,0
1453,7
1454,3
1455,1
1456,7
1457,4
1458,3
1459,4
1460,7
1461,5
1462,4
1463,0
1464,0
1465,7
1466,2
1467,5
1468,1
1469,5
1470,9
1471,9
1472,1
1473,9
1474,9
1475,7
1476,6
1477,5
1478,2
1479,8
1480,1
1481,0
1482,2
1483,4
1484,4
1485,7
1486,7
1487,0
1488,5
1489,8
1490,6
1491,7
1492,4
1493,4
1494,4
1495,5
1496,8
1497,2
1498,4
1499,4
1500,6
1501,5
1502,3
1503,2
1504,2
1505,5
1506,3
1507,9
1508,5
1509,7
1510,8
1511,1
1512,8
1513,0
1514,7
1515,3
1516,7
1517,3
1518,5
1519,0
1520,3
1521,2
1522,7
1523,8
1524,8
1525,2
1526,2
1527,7
1528,4
1529,3
1530,8
1531,2
1532,5
1533,4
1534,4
1535,1
1536,0
1537,4
1538,5
1539,7
1540,6
1541,1
1542,8
1543,9
1544,6
1545,9
1546,0
1547,4
1548,8
1549,1
1550,5
1551,6
1552,9
1553,6
1554,9
1555,3
1556,4
1557,5
1558,2
1559,9
1560,2
1561,3
1562,4
1563,9
1564,2
1565,3
1566,3
1567,5
1568,3
1569,0
1570,8
1571,3
1572,0
1573,1
1574,3
1575,0
1576,7
1577,7
1578,4
1579,4
1580,6
1581,0
1582,0
1583,9
1584,9
1585,2
1586,6
1587,7
1588,0
1589,3
1590,4
1591,5
1592,6
1593,8
1594,9
1595,9
1596,4
1597,0
1598,2
1599,7
1600,1
1601,7
1602,4
1603,4
1604,8
1605,9
1606,9
1607,7
1608,2
1609,7
1610,2
1611,9
1612,1
1613,2
1614,8
1615,7
1616,1
1617,0
1618,1
1619,4
1620,1
1621,7
1622,5
1623,5
1624,3
1625,7
1626,0
1627,8
1628,5
1629,2
1630,6
1631,5
1632,8
1633,4
1634,9
1635,1
1636,6
1637,1
1638,7
1639,4
1640,9
1641,9
1642,7
1643,2
1644,9
1645,6
1646,5
1647,5
1648,3
1649,1
1650,0
1651,8
1652,5
1653,7
1654,2
1655,0
1656,3
1657,0
1658,6
1659,6
1660,7
1661,2
1662,9
1663,0
1664,9
1665,9
1666,0
1667,6
1668,9
1669,2
1670,2
1671,6
1672,3
1673,9
1674,1
1675,2
1676,4
1677,9
1678,2
1679,4
1680,6
1681,1
1682,6
1683,2
1684,7
1685,7
1686,7
1687,1
1688,5
1689,4
1690,6
1691,0
1692,2
1693,0
1694,0
1695,6
1696,9
1697,3
1698,9
1699,1
1700,6
1701,0
1702,3
1703,0
1704,3
1705,7
1706,6
1707,2
1708,4
1709,6
1710,8
1711,6
1712,4
1713,0
1714,9
1715,1
1716,3
1717,3
1718,0
1719,4
1720,3
1721,6
1722,3
1723,3
1724,4
1725,9
1726,9
1727,4
1728,6
1729,4
1730,9
1731,5
1732,3
1733,7
1734,6
1735,7
1736,8
1737,9
1738,5
1739,5
1740,8
1741,8
1742,7
1743,7
1744,3
1745,1
1746,6
1747,1
1748,8
1749,1
1750,5
1751,4
1752,3
1753,9
1754,3
1755,8
1756,2
1757,3
1758,3
1759,7
1760,8
1761,8
1762,1
1763,1
1764,7
1765,0
1766,1
1767,9
1768,9
1769,6
1770,1
1771,9
1772,7
1773,8
1774,1
1775,1
1776,7
1777,0
1778,8
1779,7
1780,5
1781,9
1782,9
1783,9
1784,8
1785,2
1786,1
1787,1
1788,3
1789,4
1790,4
1791,3
1792,9
1793,1
1794,4
1795,4
1796,0
